Class,Precision,Recall,F1-Score
0,0.9768089053803339,0.9607664233576643,0.968721251149954
1,0.909853249475891,0.9293361884368309,0.9194915254237288
2,0.9580838323353293,0.9230769230769231,0.9402546523016652
3,0.8776978417266187,0.9682539682539683,0.9207547169811321
4,0.9629629629629629,0.9369369369369369,0.9497716894977168
5,0.9777777777777777,0.9025641025641026,0.9386666666666666
6,0.7982954545454546,0.8593272171253823,0.8276877761413844
